Wavelenght	Global Total Spectral Irradiance. tilt 37Deg
1109	0.41
1110	0.48
1111	0.33
1112	0.41
1113	0.27
1114	0.3
1115	0.25
1116	0.2
1117	0.08
1118	0.22
1119	0.11
1120	0.14
1121	0.19
1122	0.08
1123	0.13
1124	0.11
1125	0.14
1126	0.05
1127	0.16
1128	0.1
1129	0.11
1130	0.07
1131	0.3
1132	0.23
1133	0.15
1134	0.04
1135	0.02
1136	0.13
1137	0.29
1138	0.2
1139	0.3
1140	0.26
1141	0.19
1142	0.22
1143	0.31
1144	0.11
1145	0.15
1146	0.16
1147	0.06
1148	0.27
1149	0.22
1150	0.12
1151	0.2
1152	0.25
1153	0.24
1154	0.14
1155	0.31
1156	0.28
1157	0.31
1158	0.31
1159	0.34
1160	0.29
1161	0.35
1162	0.35
1163	0.47
1164	0.4
1165	0.39
1166	0.37
1167	0.41
1168	0.42
1169	0.42
1170	0.46
1171	0.45
1172	0.45
1173	0.46
1174	0.34
1175	0.45
1176	0.48
1177	0.47
1178	0.36
1179	0.48
1180	0.44
1181	0.46
1182	0.32
1183	0.44
1184	0.42
1185	0.41
1186	0.48
1187	0.46
1188	0.34
1189	0.42
1190	0.46
1191	0.45
1192	0.47
1193	0.45
1194	0.47
1195	0.45
1196	0.43
1197	0.48
1198	0.43
1199	0.36
1200	0.45
1201	0.44
1202	0.44
1203	0.43
1204	0.36
1205	0.44
1206	0.48
1207	0.43
1208	0.43
1209	0.41
1210	0.45
1211	0.42
1212	0.42
1213	0.47
1214	0.43
1215	0.43
1216	0.47
1217	0.46
1218	0.46
1219	0.45
1220	0.46
1221	0.47
1222	0.45
1223	0.44
1224	0.45
1225	0.46
1226	0.47
1227	0.43
1228	0.47
1229	0.47
1230	0.46
1231	0.47
1232	0.47
1233	0.45
1234	0.47
1235	0.47
1236	0.47
1237	0.46
1238	0.47
1239	0.46
1240	0.46
1241	0.46
1242	0.46
1243	0.46
1244	0.46
1245	0.46
1246	0.46
1247	0.46
1248	0.46
1249	0.46
1250	0.46
1251	0.45
1252	0.45
1253	0.45
1254	0.44
1255	0.45
1256	0.44
1257	0.44
1258	0.44
1259	0.43
1260	0.43
1261	0.41
1262	0.4
1263	0.4
1264	0.37
1265	0.4
1266	0.39
1267	0.39
1268	0.37
1269	0.25
1270	0.39
1271	0.41
1272	0.41
1273	0.41
1274	0.41
1275	0.41
1276	0.42
1277	0.42
1278	0.43
1279	0.42
1280	0.42
1281	0.41
1282	0.37
1283	0.41
1284	0.42
1285	0.42
1286	0.43
1287	0.42
1288	0.42
1289	0.41
1290	0.41
1291	0.42
1292	0.4
1293	0.41
1294	0.4
1295	0.41
1296	0.39
1297	0.37
1298	0.39
1299	0.41
1300	0.35
1301	0.36
1302	0.39
1303	0.35
1304	0.3
1305	0.38
1306	0.38
1307	0.31
1308	0.35
1309	0.38
1310	0.3
1311	0.33
1312	0.33
1313	0.31
1314	0.29
1315	0.29
1316	0.32
1317	0.31
1318	0.33
1319	0.27
1320	0.26
1321	0.3
1322	0.3
1323	0.23
1324	0.26
1325	0.32
1326	0.28
1327	0.27
1328	0.23
1329	0.18
1330	0.23
1331	0.14
1332	0.15
1333	0.2
1334	0.17
1335	0.23
1336	0.18
1337	0.16
1338	0.18
1339	0.18
1340	0.17
1341	0.17
1342	0.18
1343	0.13
1344	0.08
1345	0.11
1346	0.06
1347	0.06
1348	0
1349	0.02
1350	0.02
1351	0
1352	0
1353	9.61e-5
1354	2.9e-4
1355	3.6e-6
1356	4.81e-5
1357	7.18e-5
1358	4.19e-6
1359	7.34e-7
1360	2.14e-6
1361	4.81e-9
1362	1.81e-11
1363	3.16e-6
1364	1.36e-6
1365	9.08e-12
1366	1.28e-5
1367	4.98e-6
1368	1.48e-13
1369	5.17e-7
1370	2.92e-7
1371	1.97e-8
1372	2.75e-6
1373	4.44e-5
1374	1.79e-4
1375	3.23e-4
1376	2.57e-4
1377	1.23e-4
1378	0
1379	5.22e-5
1380	8.16e-5
1381	2.37e-6
1382	2.57e-6
1383	4.4e-8
1384	6.17e-7
1385	2.09e-6
1386	2.52e-6
1387	1.99e-4
1388	4.03e-6
1389	5.81e-4
1390	4.93e-4
1391	3.44e-4
1392	2.38e-5
1393	1.16e-4
1394	7.55e-5
1395	6.71e-7
1396	6.32e-9
1397	4.91e-5
1398	0
1399	8.12e-4
1400	3.25e-9
1401	1.05e-8
1402	0
1403	0
1404	7.39e-4
1405	3.64e-7
1406	0
1407	1.75e-4
1408	0
1409	6.19e-4
1410	4.67e-4
1411	0
1412	0
1413	0.02
1414	3.64e-4
1415	1.84e-4
1416	0.04
1417	0.01
1418	0.01
1419	0
1420	0.01
1421	0.01
1422	0.05
1423	0.01
1424	0.02
1425	0.03
